EmployeeID = 442341, namePrefix = 'Mr.', firstName = 'Preston', middleInitial = X, lastName = 'Heatherly', gender = M, email = 'preston.heatherly@gmail.com', dateOfBirth = 1975-11-27, dateOfJoining = 2006-07-13, salary = 54018
EmployeeID = 743840, namePrefix = 'Mr.', firstName = 'Gary', middleInitial = K, lastName = 'Spinner', gender = M, email = 'gary.spinner@yahoo.com', dateOfBirth = 1991-06-14, dateOfJoining = 2017-07-27, salary = 103386
EmployeeID = 611046, namePrefix = 'Mr.', firstName = 'Sidney', middleInitial = Q, lastName = 'Simard', gender = M, email = 'sidney.simard@ibm.com', dateOfBirth = 1994-09-22, dateOfJoining = 2016-11-15, salary = 42324
EmployeeID = 991267, namePrefix = 'Mrs.', firstName = 'Alena', middleInitial = V, lastName = 'Quattlebaum', gender = F, email = 'alena.quattlebaum@yahoo.com', dateOfBirth = 1986-10-12, dateOfJoining = 2008-08-13, salary = 58821
EmployeeID = 965087, namePrefix = 'Hon.', firstName = 'Daisey', middleInitial = G, lastName = 'Warrington', gender = F, email = 'daisey.warrington@gmail.com', dateOfBirth = 1994-07-29, dateOfJoining = 2015-10-01, salary = 111355
EmployeeID = 888047, namePrefix = 'Ms.', firstName = 'Casimira', middleInitial = K, lastName = 'Follett', gender = F, email = 'casimira.follett@microsoft.com', dateOfBirth = 1980-07-26, dateOfJoining = 2012-08-08, salary = 159705
EmployeeID = 537488, namePrefix = 'Mr.', firstName = 'Vance', middleInitial = U, lastName = 'Levasseur', gender = M, email = 'vance.levasseur@yahoo.com', dateOfBirth = 1991-08-19, dateOfJoining = 2015-06-08, salary = 74943
EmployeeID = 486734, namePrefix = 'Mr.', firstName = 'Duncan', middleInitial = A, lastName = 'Noah', gender = M, email = 'duncan.noah@hotmail.com', dateOfBirth = 1984-05-25, dateOfJoining = 2011-01-12, salary = 160437
EmployeeID = 493105, namePrefix = 'Mr.', firstName = 'Vaughn', middleInitial = T, lastName = 'Trahan', gender = M, email = 'vaughn.trahan@gmail.com', dateOfBirth = 1991-11-04, dateOfJoining = 2014-11-11, salary = 79572
EmployeeID = 157364, namePrefix = 'Ms.', firstName = 'Claris', middleInitial = T, lastName = 'Quach', gender = F, email = 'claris.quach@gmail.com', dateOfBirth = 1973-04-07, dateOfJoining = 1994-04-25, salary = 180760
EmployeeID = 802800, namePrefix = 'Mr.', firstName = 'Benedict', middleInitial = Y, lastName = 'Mccullum', gender = M, email = 'benedict.mccullum@gmail.com', dateOfBirth = 1981-09-06, dateOfJoining = 2010-05-13, salary = 132241
EmployeeID = 629151, namePrefix = 'Mr.', firstName = 'Ira', middleInitial = U, lastName = 'Pagel', gender = M, email = 'ira.pagel@gmail.com', dateOfBirth = 1971-07-25, dateOfJoining = 2000-06-02, salary = 150135
EmployeeID = 729127, namePrefix = 'Mrs.', firstName = 'Virgil', middleInitial = S, lastName = 'Jessee', gender = F, email = 'virgil.jessee@yahoo.com', dateOfBirth = 1959-06-17, dateOfJoining = 1990-07-12, salary = 42661
